FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
PLAINTO_TSQUERY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
POINT,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
POLYGON,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
POPEN,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
POSITION,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
POW,NOK,NOK,S,S,N,N,N,N,N,N,N,N,N,N
POWER,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
PQSERVERVERSION,NOK,NOK,N,N,N,N,S,S,S,S,S,S,S,S
QUERY_TO_XML,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
QUERY_TO_XML_AND_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
QUERY_TO_XMLSCHEMA,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
QUERYTREE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
QUOTE_IDENT,OK,OK,N,N,S,N,S,S,S,S,S,S,S,S
QUOTE_LITERAL,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
QUOTE_NULLABLE,NOK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
RADIANS,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
